card_name,issuer,is_business,network,bonus_amount,bonus_currency,point_value_cpp,bonus_value_usd,min_spend_usd,spend_window_months,annual_fee_usd,annual_fee_waived_y1,first_year_credits_usd,estimated_first_year_value_usd,notes,source,source_url,source_checked,apply_url,offer_channel,verification_status,expiration_date,spend_window_days
Chase Southwest Airlines Performance Business,Chase,true,Visa,80000,Southwest points,1.3,1040.0,5000,3,299,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":80000,""bonus_currency"":""Southwest points"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: **80,000 Bonus Points After You Spend $5,000 On Purchases In The First 3 Months From Account Opening: This new Cardmember bonus offer is not available to either (i) current Cardmembers of this business credit card, or (ii) previous Cardmembers of this business credit card who received a new Cardmember bonus for this business credit card within the last 24 months.** To qualify for your bonus points, you must make Purchases totaling $5,000 or more during the first 3 months from account opening. Please allow up to 8 weeks for bonus points to post to your Rapid Rewards® account. (""Purchases"" do not include balance transfers, cash advances, travelers checks, foreign currency, money orders, wire transfers or similar cash-like transactions, lottery tickets, casino gaming chips, race track wagers or similar betting transactions, any checks that access your account, interest, unauthorized or fraudulent charges, and fees of any kind, including an annual fee, if applicable.) To be eligible for this bonus offer, account must be open and not in default at the time of fulfillment. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/southwest/performance-business,2026-09-16,https://creditcards.chase.com/business-credit-cards/southwest/performance-business,public,verified,,
Chase United Explorer,Chase,false,Visa,50000,United miles,1.4,700.0,3000,3,150,true,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":50000,""bonus_currency"":""United miles"",""min_spend_usd"":3000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":10000,""bonus_currency"":""United miles"",""min_spend_usd"":null,""spend_window_months"":3,""condition"":""Add an employee card (business) / authorized user (personal) in first 3 months; no separate purchase threshold stated"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This card product is available to you if you do not have this card and have not received a new Cardmember bonus for this card in the past 24 months. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/united/united-explorer,2026-09-16,https://creditcards.chase.com/travel-credit-cards/united/united-explorer,public,verified,,
Bank of America Premium Rewards Elite,Bank of America,false,Visa,75000,Bank of America points,1.0,750.0,5000,,550,,,,"Spend window: 90 days from account_opening (not calendar months). Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":75000,""bonus_currency"":""Bank of America points"",""min_spend_usd"":5000,""window"":{""value"":90,""unit"":""days"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Bank of America,https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/,2026-09-16,https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/,public,verified,,90
Chase IHG Premier,Chase,false,Mastercard,140000,IHG points,0.5,700.0,3000,3,99,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":140000,""bonus_currency"":""IHG points"",""min_spend_usd"":3000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":10000,""bonus_currency"":""IHG points"",""min_spend_usd"":null,""spend_window_months"":3,""condition"":""Add an employee card (business) / authorized user (personal) in first 3 months; no separate purchase threshold stated"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This product is available to you if you do not have a current IHG One Rewards Credit Card and have not received a new Cardmember bonus within the last 24 months. This does not apply to Business Card Credit Card products. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/premier,2026-09-16,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/premier,public,verified,,
Barclays Wyndham Earner Premier,Barclays,false,Mastercard,90000,Wyndham points,1.0,900.0,6000,,395,false,,,"Observed product: Wyndham Rewards Earner Premier. Spend window: 120 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""Wyndham Rewards Earner Premier"",""bonus_amount"":90000,""bonus_currency"":""Wyndham Rewards points"",""min_spend_usd"":6000,""spend_window"":{""length"":120,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":395,""annual_fee_waived_y1"":false,""additional_conditions"":""Base component; pay annual fee in full within first 120 days.""},{""product"":""Wyndham Rewards Earner Premier"",""bonus_amount"":30000,""bonus_currency"":""Wyndham Rewards points"",""min_spend_usd"":750,""spend_window"":{""length"":180,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":395,""annual_fee_waived_y1"":false,""additional_conditions"":""Additional component for purchases at Hotels by Wyndham; not an alternative offer. Do not add spend amounts without resolving overlap.""}] Base component; pay annual fee in full within first 120 days. Eligibility: Subject to issuer underwriting; detailed bonus eligibility not fully recovered, do not infer from another product. Unresolved: repeat_bonus_eligibility; overlap_of_general_and_hotel_spend; detailed_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",Barclays,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-premier-card/,2026-09-16,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-premier-card/,public,verified,,120
Chase Ink Premier,Chase,true,Visa,1000,USD,,1000,10000,3,195,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":1000,""bonus_currency"":""USD"",""min_spend_usd"":10000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: The new cardmember bonus may not be available to you if you have ever had this card. We may also consider factors pertinent to your business in determining your bonus eligibility. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/ink/premier,2026-09-16,https://creditcards.chase.com/business-credit-cards/ink/premier,public,verified,,
Barclays JetBlue Plus,Barclays,false,Mastercard,70000,JetBlue points,1.3,910.0,1000,,99,false,,,"Observed product: JetBlue Plus Card. Spend window: 90 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""JetBlue Plus Card"",""bonus_amount"":70000,""bonus_currency"":""JetBlue TrueBlue points"",""min_spend_usd"":1000,""spend_window"":{""length"":90,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":99,""annual_fee_waived_y1"":false,""additional_conditions"":""Pay annual fee in full within first 90 days.""}] Pay annual fee in full within first 90 days. Eligibility: Approved applicants; bonus may only be earned once; current or previous accounts in the program may be ineligible; anti-gaming exclusion. Unresolved: offer_expiration_date_not_stated No verified application end date; offer subject to change.",Barclays,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,2026-09-16,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,public,verified,,90
Synchrony Virgin Red Rewards,Synchrony,false,,60000,Virgin points,1.4,840.0,4000,,99,false,,,"Observed product: Virgin Red Rewards Mastercard. Spend window: 90 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""Virgin Red Rewards Mastercard"",""bonus_amount"":60000,""bonus_currency"":""Virgin Points"",""min_spend_usd"":4000,""spend_window"":{""length"":90,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":99,""annual_fee_waived_y1"":false,""additional_conditions"":null}] Eligibility: One offer per accountholder; new account; card linked to Virgin Red account; account open, good standing and not delinquent. Applicants aged 18+ with US address. Unresolved: offer_expiration_date_not_stated No verified application end date; offer subject to change.",Synchrony,https://www.synchrony.com/partner/virgin-red-rewards-card,2026-09-16,https://www.synchrony.com/partner/virgin-red-rewards-card,public,verified,,90
Capital One VentureOne Business,Capital One,true,Visa,50000,Capital One miles,,,4500,3,0,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":50000,""bonus_currency"":""Capital One miles"",""min_spend_usd"":4500,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.capitalone.com/small-business/credit-cards/ventureone-business/"",""https://www.capitalone.com/small-business/credit-cards/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Capital One,https://www.capitalone.com/small-business/credit-cards/ventureone-business/,2026-09-16,https://www.capitalone.com/small-business/credit-cards/ventureone-business/,public,verified,,
Chase World of Hyatt Business,Chase,true,Visa,70000,Hyatt points,1.6,1120.0,7000,3,199,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":70000,""bonus_currency"":""Hyatt points"",""min_spend_usd"":7000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: 70,000 Bonus Points After You Spend $7,000 On Purchases In The First 3 Months From Account Opening: This new Cardmember bonus offer is not available to either (i) current Cardmembers of this business credit card, or (ii) previous Cardmembers of this business credit card who received a new Cardmember bonus for this business credit card within the last 24 months. To qualify for and receive your 70,000 Bonus Points, you must make Purchases totaling $7,000 or more during the first 3 months from account opening. (""Purchases"" do not include balance transfers, cash advances, travelers checks, foreign currency, money orders, wire transfers or similar cash-like transactions, lottery tickets, casino gaming chips, race track wagers or similar betting transactions, any checks that access your account, interest, unauthorized or fraudulent charges, and fees of any kind, including an annual fee, if applicable.) After qualifying, please allow 6-8 weeks for your Bonus Points to post to your World of Hyatt account. To be eligible for this bonus offer, account must be open and not in default at the t Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/world-of-hyatt/hyatt-business-card,2026-09-16,https://creditcards.chase.com/business-credit-cards/world-of-hyatt/hyatt-business-card,public,verified,,
AmEx Hilton Aspire,American Express,false,Amex,200000,Hilton points,,,6000,6,550,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":6000,""spend_window_months"":6,""rewards"":[{""amount"":200000,""currency"":""Hilton points"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""}],""components_share_same_spend_gate"":true,""personalized"":false}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card or previous versions of these Cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application.",American Express,https://www.americanexpress.com/us/credit-cards/card/hilton-honors-aspire/,2026-09-16,https://www.americanexpress.com/us/credit-cards/card/hilton-honors-aspire/,public,verified,2027-01-13,
Bank of America Air France KLM,Bank of America,false,Visa,50000,Air France KLM Flying Blue miles,,,2000,,89,,,,"Spend window: 90 days from account_opening (not calendar months). Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":50000,""bonus_currency"":""Air France KLM Flying Blue miles"",""min_spend_usd"":2000,""window"":{""value"":90,""unit"":""days"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.bankofamerica.com/credit-cards/products/air-france-credit-card/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Bank of America,https://www.bankofamerica.com/credit-cards/products/air-france-credit-card/,2026-09-16,https://www.bankofamerica.com/credit-cards/products/air-france-credit-card/,public,verified,,90
AmEx Marriott Bonvoy Brilliant,American Express,false,Amex,150000,Marriott points,,,6000,6,650,false,,,"Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":6000,""spend_window_months"":6,""rewards"":[{""amount"":150000,""currency"":""Marriott points"",""kind"":""points_or_miles"",""amount_type"":""fixed_offer""},{""amount"":250,""currency"":""USD"",""kind"":""statement_credit""}],""components_share_same_spend_gate"":true,""personalized"":false},{""tier_id"":""original-feed-base"",""status"":""not_reverified_current_superseded_in_observed_channels"",""bonus_amount"":100000,""bonus_currency"":""Marriott points"",""min_spend_usd"":6000,""spend_window_months"":6},{""tier_id"":""original-feed-increment"",""status"":""not_reverified_current_superseded_in_observed_channels"",""bonus_amount"":50000,""bonus_currency"":""Marriott points"",""additional_spend_usd"":2000,""cumulative_spend_usd"":8000,""spend_window_months"":6}] Eligibility: You may not be eligible to receive a welcome offer if you have or have had this Card or the Starwood Preferred Guest® American Express Luxury Card or previous versions of these Cards. You also may not be eligible to receive a welcome offer based on various factors, such as your history with credit card balance transfers, your history as an American Express Card Member, the number of credit cards that you have opened and closed and other factors. If you are not eligible for a welcome offer, we will notify you prior to processing your application so you have the option to withdraw your application. Welcome offer not available to applicants who (i) have or have had The Ritz-Carlton® Credit Card from JPMorgan or the J.P. Morgan RitzCarlton Rewards® Credit Card in the last 30 days, (ii) have acquired the Marriott Bonvoy Bountiful Credit Card from Chase, the Marriott Bonvoy Boundless® Credit Card from Chase, or the Marriott Bonvoy Bold® Credit Card from Chase in the last 90 days, or (iii) received a new Card Member bonus or upgrade offer for the Marriott Bonvoy Bountiful Credit Card from Chase, the Marriott Bonvoy Boundless® Credit Card from Chase, or the Marriott Bonvoy Bold® Credit Card from Chase in the last 24 months.",American Express,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,2026-09-16,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,public,verified,2026-09-30,
Capital One Spark Cash Select,Capital One,true,Mastercard,750,USD,,750,6000,3,0,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":750,""bonus_currency"":""USD"",""min_spend_usd"":6000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.capitalone.com/small-business/credit-cards/spark-cash-select/"",""https://www.capitalone.com/small-business/credit-cards/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Capital One,https://www.capitalone.com/small-business/credit-cards/spark-cash-select/,2026-09-16,https://www.capitalone.com/small-business/credit-cards/spark-cash-select/,public,verified,,
U.S. Bank Business Altitude Connect,U.S. Bank,true,Visa,75000,U.S. Bank points,,,6000,,95,true,,,"Observed product: Business Altitude Connect Visa Signature. Spend window: 180 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""Business Altitude Connect Visa Signature"",""bonus_amount"":75000,""bonus_currency"":""U.S. Bank points"",""min_spend_usd"":6000,""spend_window"":{""length"":180,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":95,""annual_fee_waived_y1"":true,""additional_conditions"":""Account Owner spending requirement; days, not exactly six calendar months.""}] Account Owner spending requirement; days, not exactly six calendar months. Eligibility: Subject to issuer underwriting; detailed bonus eligibility not fully recovered, do not infer from another product. Unresolved: repeat_bonus_eligibility; detailed_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",U.S. Bank,https://www.usbank.com/business-banking/business-credit-cards/business-altitude-connect-credit-card.html,2026-09-16,https://www.usbank.com/business-banking/business-credit-cards/business-altitude-connect-credit-card.html,public,verified,,180
U.S. Bank Business Leverage,U.S. Bank,true,Visa,60000,U.S. Bank points,,,6000,,95,true,,,"Observed product: Business Leverage Visa Signature. Spend window: 120 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""Business Leverage Visa Signature"",""bonus_amount"":60000,""bonus_currency"":""U.S. Bank points"",""min_spend_usd"":6000,""spend_window"":{""length"":120,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":95,""annual_fee_waived_y1"":true,""additional_conditions"":""Account Owner card only; employee-card purchases excluded; advertised as up to $600 rewards.""}] Account Owner card only; employee-card purchases excluded; advertised as up to $600 rewards. Eligibility: Subject to credit approval; cannot combine with any other bonus offer. Unresolved: repeat_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",U.S. Bank,https://www.usbank.com/business-banking/business-credit-cards/business-leverage-rewards-credit-card.html,2026-09-16,https://www.usbank.com/business-banking/business-credit-cards/business-leverage-rewards-credit-card.html,public,verified,,120
U.S. Bank Triple Cash Business,U.S. Bank,true,Visa,750,USD,,750,6000,,0,false,,,"Observed product: Triple Cash Rewards Visa Business. Spend window: 180 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""Triple Cash Rewards Visa Business"",""bonus_amount"":750,""bonus_currency"":""USD"",""min_spend_usd"":6000,""spend_window"":{""length"":180,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":0,""annual_fee_waived_y1"":false,""additional_conditions"":""Spend on Account Owner card.""}] Spend on Account Owner card. Eligibility: Subject to issuer underwriting; detailed bonus eligibility not fully recovered, do not infer from another product. Unresolved: repeat_bonus_eligibility; detailed_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",U.S. Bank,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,2026-09-16,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,public,verified,,180
Chase Aeroplan,Chase,false,Visa,75000,Aeroplan points,,,4000,3,195,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":75000,""bonus_currency"":""Aeroplan points"",""min_spend_usd"":4000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":40000,""bonus_currency"":""Aeroplan points"",""min_spend_usd"":20000,""spend_window_months"":12,""condition"":""Cumulative purchases from opening; additional to 75,000 points, total possible 115,000"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This credit card is available to you if you do not have the Chase Air Canada Aeroplan® Card or previous versions and have not received a new cardmember bonus for the Chase Air Canada Aeroplan® Card or previous versions in the past 24 months. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification.; Spend/window of struck-through historical headline not provided. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/aircanada/aeroplan,2026-09-16,https://creditcards.chase.com/travel-credit-cards/aircanada/aeroplan,public,verified,,
Bank of America Premium Rewards,Bank of America,false,Visa,60000,Bank of America points,1.0,600.0,4000,,95,,,,"Spend window: 90 days from account_opening (not calendar months). Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":60000,""bonus_currency"":""Bank of America points"",""min_spend_usd"":4000,""window"":{""value"":90,""unit"":""days"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://bankofamerica.com/credit-cards/products/premium-rewards-credit-card""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Bank of America,https://bankofamerica.com/credit-cards/products/premium-rewards-credit-card,2026-09-16,https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/,public,verified,,90
Barclays Wyndham Earner Plus,Barclays,false,Mastercard,45000,Wyndham points,1.0,450.0,1000,,95,false,,,"Observed product: Wyndham Rewards Earner Plus. Spend window: 90 days from account opening (not calendar months). Audited reward components/tiers: [{""product"":""Wyndham Rewards Earner Plus"",""bonus_amount"":45000,""bonus_currency"":""Wyndham Rewards points"",""min_spend_usd"":1000,""spend_window"":{""length"":90,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":95,""annual_fee_waived_y1"":false,""additional_conditions"":""Base component.""},{""product"":""Wyndham Rewards Earner Plus"",""bonus_amount"":55000,""bonus_currency"":""Wyndham Rewards points"",""min_spend_usd"":500,""spend_window"":{""length"":180,""unit"":""days"",""anchor"":""account opening""},""annual_fee_usd"":95,""annual_fee_waived_y1"":false,""additional_conditions"":""Additional component for spending at Hotels by Wyndham, not a standalone alternative.""}] Base component. Eligibility: Subject to issuer underwriting; detailed bonus eligibility not fully recovered, do not infer from another product. Unresolved: repeat_bonus_eligibility; overlap_of_general_and_hotel_spend; detailed_bonus_eligibility; offer_expiration_date_not_stated No verified application end date; offer subject to change.",Barclays,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-plus-card/,2026-09-16,https://cards.barclaycardus.com/banking/cards/wyndham-rewards-earner-plus-card/,public,verified,,90
Chase Southwest Airlines Premier Business,Chase,true,Visa,60000,Southwest points,1.3,780.0,3000,3,149,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":60000,""bonus_currency"":""Southwest points"",""min_spend_usd"":3000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: 60,000 Bonus Points After You Spend $3,000 On Purchases In The First 3 Months From Account Opening: This new Cardmember bonus offer is not available to either (i) current Cardmembers of this business credit card, or (ii) previous Cardmembers of this business credit card who received a new Cardmember bonus for this business credit card within the last 24 months. To qualify for your bonus points, you must make Purchases totaling $3,000 or more during the first 3 months from account opening. Please allow up to 8 weeks for bonus points to post to your Rapid Rewards® account. (""Purchases"" do not include balance transfers, cash advances, travelers checks, foreign currency, money orders, wire transfers or similar cash-like transactions, lottery tickets, casino gaming chips, race track wagers or similar betting transactions, any checks that access your account, interest, unauthorized or fraudulent charges, and fees of any kind, including an annual fee, if applicable.) To be eligible for this bonus offer, account must be open and not in default at the time of fulfillment. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/southwest/premier-business,2026-09-16,https://creditcards.chase.com/business-credit-cards/southwest/premier-business,public,verified,,
Chase United Quest,Chase,false,Visa,60000,United miles,1.4,840.0,4000,3,350,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":60000,""bonus_currency"":""United miles"",""min_spend_usd"":4000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":10000,""bonus_currency"":""United miles"",""min_spend_usd"":null,""spend_window_months"":3,""condition"":""Add an employee card (business) / authorized user (personal) in first 3 months; no separate purchase threshold stated"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":500,""bonus_currency"":""United PQP"",""min_spend_usd"":4000,""spend_window_months"":3,""condition"":""Same purchase threshold as base signup miles; status points, not redeemable miles"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: This card product is available to you if you do not have this card and have not received a new Cardmember bonus for this card in the past 24 months. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/united/united-quest,2026-09-16,https://creditcards.chase.com/travel-credit-cards/united/united-quest,public,verified,,
Chase IHG Traveler,Chase,false,Mastercard,80000,IHG points,0.5,400.0,2000,3,0,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":80000,""bonus_currency"":""IHG points"",""min_spend_usd"":2000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":10000,""bonus_currency"":""IHG points"",""min_spend_usd"":null,""spend_window_months"":3,""condition"":""Add an employee card (business) / authorized user (personal) in first 3 months; no separate purchase threshold stated"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: **This credit card is not available to either (i) current cardmembers of any personal IHG One Rewards Credit Card, or (ii) previous cardmembers of any personal IHG One Rewards Credit Card who received a new cardmember bonus for any personal IHG One Rewards Credit Card within the last 24 months.** Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/traveler,2026-09-16,https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/traveler,public,verified,,
Discover it,,false,Discover,,USD,,,,,0,false,,,"NOT A VERIFIED DEFAULT PUBLIC OFFER: current_offer_observed. Observed product: Discover it Cash Back. Spend window: 365 days from new account approval (not calendar months). Audited reward components/tiers: [{""product"":""Discover it Cash Back"",""bonus_amount"":null,""bonus_currency"":""USD"",""min_spend_usd"":null,""spend_window"":{""length"":365,""unit"":""days"",""anchor"":""new account approval""},""annual_fee_usd"":0,""annual_fee_waived_y1"":false,""additional_conditions"":""Unlimited match of cash back earned in first 365 days; variable reward, no purchase minimum. Not a fixed $200 bonus.""}] Unlimited match of cash back earned in first 365 days; variable reward, no purchase minimum. Not a fixed $200 bonus. Eligibility: Exclusively new cardholders; account must not be closed; excludes rewards processed after match period, statement credits and rewards transfers. Unresolved: fixed_bonus_amount_not_applicable; offer_expiration_date_not_stated No verified application end date; offer subject to change.",First-party issuer audit,https://www.discover.com/credit-cards/cash-back/it-card/,,https://www.discover.com/credit-cards/cash-back/it-card/,unknown,unresolved,,365
